OPERATOR ID                   Organization
00009C                        New Generation Graphics Limited
000097                        Intercellular Nigeria PLC
000093                        BVCNET
000092                        ZAPP.pt (registered as mobiZAPP -Com. Electronics SA)
00007B                        Mobitel Limited, Nigeria
000078                        Nokia Siemens Networks.
00008C                        Swift Networks LTD 
00008F                        Spectranet Ltd.
000091                        Ariana Network Service
000080                        OLO DEL PERU S.A.C
000084                        Viti SAS
00007E                        CosmoAir, LTD
00005D                        Yota Bel LLC
000077                        MultiLink S.A.
000083                        Barrett Xplore, Inc.
000086                        4G Africa AG
00008A                        Umniah Mobile Company
00006A                        Gulfsat Madagascar
000067                        Callplus Services Limited
000070                        mada commnications
000075                        QMAX Communications Pte, Ltd. 
000043                        N1 Communications
00003A                        Open Range Communications
000032                        InterProekt
000030                        Comcast Cable
00002C                        SC Lithuanian Radio & TV Center
000051                        Â 7netlayers
000050                        Vee Telecom Multimedia Co. Ltd.
000052                        Direct on PC Limited
000056                        First International Telecom Corporation (FITEL)
00004F                        Aksoran LLC
000048                        Main Street Broadband
000040                        YTL Communications SDN BHD
00005A                        Wind Telecom
00005C                        Altitude Infrastructure
00002A                        Axione
000020                        Linkem Spa
000021                        Grid Net
00001E                        DBD Deutsche Breitband Dienste GmbH
000011                        MIRS Communications Ltd
00001C                        â€œMMDS-Ukraineâ€ LLC 
00000E                        Wi-Tribe Limited
000010                        Axtel S.A.B. de C.V.
000007                        Clearwire Corporation
